,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
346,Clonakilty,IE,51.6231,-8.8706,65.41,84,3,3.69,clear sky
347,Shingu,JP,33.7333,135.9833,78.91,92,100,7.96,overcast clouds
348,Byron Bay,AU,-28.65,153.6167,55.87,56,0,12.28,clear sky
349,Kungurtug,RU,50.5994,97.5228,50.99,97,100,0.94,overcast clouds
350,Hovd,MN,48.0056,91.6419,60.87,42,14,5.1,few clouds
351,Fare,PF,-16.7,-151.0167,79.72,70,16,22.41,light rain
352,Corinto,GR,37.9407,22.9573,83.62,63,0,5.21,clear sky
353,Haapsalu,EE,58.9431,23.5414,67.01,70,0,4.23,clear sky
354,Porto Belo,BR,-27.1578,-48.5531,65.97,83,0,4.92,clear sky
355,Doka,SD,13.5167,35.7667,74.68,79,82,10.02,broken clouds
356,Puerto Escondido,MX,15.85,-97.0667,86.7,62,96,6.82,overcast clouds
357,Ciudad Bolivar,VE,8.1222,-63.5497,84.07,61,43,9.44,scattered clouds
358,Pytalovo,RU,57.0679,27.9138,67.5,73,76,2.66,broken clouds
359,Araouane,ML,18.9048,-3.5265,99.86,13,9,8.55,clear sky
360,Bacolod,PH,10.6667,122.95,78.37,90,80,9.82,broken clouds
361,Barrow,US,71.2906,-156.7887,53.62,94,90,14.97,light rain
362,Westport,US,41.1415,-73.3579,85.95,85,75,1.01,broken clouds
363,Alice Springs,AU,-23.7,133.8833,36.95,75,0,0.0,clear sky
364,Fairbanks,US,64.8378,-147.7164,82.02,46,75,3.0,haze
365,Rehoboth,NA,-23.3167,17.0833,49.98,40,1,5.68,clear sky
366,Yumen,CN,40.2833,97.2,73.69,35,0,8.97,clear sky
367,Ginir,ET,7.1333,40.7,56.84,78,99,5.06,overcast clouds
368,Praya,CV,14.9215,-23.5087,75.74,83,40,10.36,scattered clouds
369,North Bend,US,43.4065,-124.2243,76.24,70,1,17.27,clear sky
370,Kisangani,CD,0.5167,25.2,71.33,94,100,1.9,overcast clouds
371,Codrington,AU,-38.2667,141.9667,48.81,82,82,9.73,broken clouds
372,Lugovaya,RU,56.05,37.4833,73.67,78,0,6.71,clear sky
373,Skjervoy,NO,70.0311,20.9714,51.6,85,92,7.54,overcast clouds
374,Mount Isa,AU,-20.7333,139.5,49.77,62,7,0.0,clear sky
375,Kalmar,SE,56.6616,16.3616,71.96,79,3,9.22,clear sky
376,Fukue,JP,32.6881,128.8419,79.09,78,67,10.76,broken clouds
377,Praxedis Guerrero,MX,31.3667,-106.0167,98.19,20,11,6.53,few clouds
378,Khimki,RU,55.9017,37.4375,73.98,78,0,6.71,clear sky
379,Pochutla,MX,15.7432,-96.4661,90.82,59,100,6.35,overcast clouds
380,Udarnyy,RU,54.3409,42.8611,69.84,69,47,2.8,scattered clouds
381,Grindavik,IS,63.8424,-22.4338,48.67,100,90,5.75,light intensity drizzle
382,Ritchie,ZA,-29.038,24.6028,45.48,52,0,2.95,clear sky
383,Kupino,RU,54.3663,77.2981,56.98,97,100,1.25,light rain
384,San Vicente,AR,-26.6167,-54.1333,49.48,86,1,1.99,clear sky
385,Kendari,ID,-3.945,122.4989,71.98,92,100,3.0,overcast clouds
386,Hillsboro,US,45.5229,-122.9898,85.01,46,40,3.0,scattered clouds
387,Balkanabat,TM,39.5108,54.3671,86.86,22,0,4.5,clear sky
388,Kharan,PK,28.5833,65.4167,89.76,53,15,12.95,few clouds
389,Clarence Town,AU,-32.5833,151.7833,55.35,69,7,12.77,clear sky
390,Vila,PT,42.0304,-8.1588,70.7,63,7,1.48,clear sky
391,Xinglongshan,CN,43.9561,125.4661,75.38,85,9,4.59,clear sky
392,Narwar,IN,25.65,77.9,83.17,71,100,14.67,light rain
393,Honningsvag,NO,70.9821,25.9704,50.04,84,53,17.36,broken clouds
394,Achinsk,RU,56.2694,90.4993,54.18,92,69,6.96,broken clouds
395,Assiniboia,CA,49.6334,-105.9845,96.28,19,81,10.69,broken clouds
396,Nome,US,64.5011,-165.4064,50.16,87,90,17.27,mist
397,Puerto Madero,MX,14.7208,-92.4215,88.0,66,40,10.36,scattered clouds
398,Gayny,RU,60.3071,54.3241,59.49,95,55,3.8,broken clouds
399,Aguimes,ES,27.9054,-15.4461,68.63,83,20,24.16,few clouds
400,Flin Flon,CA,54.7682,-101.865,72.36,33,100,9.48,overcast clouds
401,Toora-Khem,RU,52.4675,96.11,47.91,95,13,2.15,few clouds
402,Pandan,PH,14.0453,124.1694,81.01,85,100,5.84,overcast clouds
403,Portland,US,45.5234,-122.6762,85.55,44,20,1.99,few clouds
404,Manzanillo,CU,20.3433,-77.1167,86.72,63,96,7.0,very heavy rain
405,Laguna,US,38.421,-121.4238,103.44,25,1,3.0,clear sky
406,Atar,MR,20.5169,-13.0499,93.4,23,8,5.73,clear sky
407,Ous,RU,60.9058,61.5186,61.02,67,87,5.68,overcast clouds
408,Novo Aripuana,BR,-5.1206,-60.3797,81.73,64,46,3.29,scattered clouds
409,Macia,MZ,-25.0269,33.0989,56.12,80,0,4.29,clear sky
410,Jining,CN,35.405,116.5814,79.0,1,83,10.11,broken clouds
411,Abha,SA,18.2164,42.5053,71.85,28,40,4.61,scattered clouds
412,Muisne,EC,0.6,-80.0333,76.28,84,98,9.31,overcast clouds
413,Shache,CN,38.4167,77.2406,78.22,37,46,10.2,scattered clouds
414,Masunga,BW,-20.6246,27.4488,47.43,55,5,8.08,clear sky
415,Oktyabrskiy,RU,54.4815,53.471,63.09,71,40,2.77,scattered clouds
416,Naze,JP,28.3667,129.4833,79.72,84,100,15.26,moderate rain
417,Henderson,US,36.0397,-114.9819,110.75,17,1,10.36,clear sky
418,Kutum,SD,14.2,24.6667,76.39,54,57,9.93,broken clouds
419,Joao Camara,BR,-5.5375,-35.8197,72.64,78,67,11.77,broken clouds
420,Barcelos,PT,41.5388,-8.6151,81.28,80,0,1.92,clear sky
421,Valencia,ES,39.3333,-0.8333,73.65,80,0,1.72,clear sky
422,Mantua,IT,45.1667,10.7833,74.08,82,62,1.99,broken clouds
423,Tezu,IN,27.9167,96.1667,76.03,99,100,0.98,overcast clouds
424,Walsrode,DE,52.8667,9.6,64.54,96,0,7.16,clear sky
425,Kjollefjord,NO,70.9457,27.3465,49.28,87,52,13.42,broken clouds
426,Nanortalik,GL,60.1432,-45.2371,53.1,72,99,16.78,overcast clouds
427,Huarmey,PE,-10.0681,-78.1522,67.77,75,12,10.92,few clouds
428,Shimoda,JP,34.6667,138.95,79.41,82,5,2.17,clear sky
429,Karpathos,GR,35.507,27.2132,76.78,85,2,6.44,clear sky
430,Pecos,US,31.4229,-103.4932,99.43,26,75,11.5,broken clouds
431,Aden,YE,12.7794,45.0367,84.96,76,97,11.07,overcast clouds
432,Vuktyl,RU,63.8567,57.3094,57.52,94,100,3.29,overcast clouds
433,Douentza,ML,14.9951,-2.9517,91.78,42,5,14.58,clear sky
434,Canoinhas,BR,-26.1772,-50.39,54.57,97,30,3.24,scattered clouds
435,Buraydah,SA,26.326,43.975,92.46,21,41,17.54,scattered clouds
436,Esso,RU,55.9333,158.7,55.26,99,100,6.22,light rain
437,Seguela,CI,7.9611,-6.6731,70.32,98,98,5.77,overcast clouds
438,Millinocket,US,45.6573,-68.7098,80.42,62,1,3.44,clear sky
439,Butia,BR,-30.1197,-51.9622,53.04,83,14,6.31,few clouds
440,Waingapu,ID,-9.6567,120.2641,71.91,87,11,6.96,few clouds
441,Igrim,RU,63.1906,64.4162,55.24,71,68,3.71,broken clouds
442,Pedasi,PA,7.5333,-80.0333,80.87,77,100,2.62,overcast clouds
443,Yerbogachen,RU,61.2767,108.0108,65.17,69,99,7.61,overcast clouds
444,Benghazi,LY,32.1167,20.0667,79.12,70,6,15.26,clear sky
445,Rincon,US,32.296,-81.2354,91.85,76,75,1.99,broken clouds
446,Bengkulu,ID,-3.8004,102.2655,74.53,89,72,3.58,broken clouds
447,Griffith,US,41.5284,-87.4237,81.12,81,90,1.01,overcast clouds
448,Haines Junction,CA,60.7522,-137.5108,74.43,19,1,4.9,clear sky
449,Armidale,AU,-30.5167,151.65,37.81,82,89,11.21,overcast clouds
450,Lorengau,PG,-2.0226,147.2712,81.9,76,99,4.56,overcast clouds
451,Manicore,BR,-5.8092,-61.3003,83.88,56,63,0.87,broken clouds
452,Illela,NG,13.7292,5.2975,90.1,47,96,8.86,overcast clouds
453,Bolshaya Dzhalga,RU,45.9695,42.6966,80.83,33,76,8.52,broken clouds
454,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.91,89,1,9.37,clear sky
455,Sabha,LY,27.0377,14.4283,91.89,24,0,16.26,clear sky
456,Alta Floresta,BR,-9.8756,-56.0861,84.69,30,13,3.06,few clouds
457,Iranshahr,IR,27.2025,60.6848,89.51,57,8,3.06,clear sky
458,Amot,NO,59.5714,7.9877,59.5,68,94,13.35,overcast clouds
459,Champerico,GT,14.3,-91.9167,90.77,70,24,7.36,few clouds
460,Novyy Urgal,RU,51.0736,132.5642,65.61,78,2,0.6,clear sky
461,Bay City,US,43.5945,-83.8889,81.16,54,1,13.8,clear sky
462,Omboue,GA,-1.5746,9.2618,72.14,84,57,5.82,broken clouds
463,Kearney,US,40.6995,-99.0815,86.56,61,75,8.05,broken clouds
464,Prince George,CA,53.9166,-122.753,67.28,63,87,1.01,overcast clouds
465,Mindelo,CV,16.8901,-24.9804,76.55,73,40,16.11,scattered clouds
466,Muros,ES,42.7762,-9.0603,73.15,81,0,1.97,clear sky
467,Ruteng,ID,-8.6136,120.4721,58.69,89,67,2.73,broken clouds
468,Cedral,MX,23.8,-100.7333,83.98,26,19,14.05,few clouds
469,Bonthe,SL,7.5264,-12.505,75.38,92,100,6.71,moderate rain
470,Cascavel,BR,-24.9558,-53.4553,51.22,85,24,3.36,few clouds
471,Ekhabi,RU,53.5102,142.9671,65.48,68,7,17.9,clear sky
472,Khotynets,RU,53.1286,35.3966,67.48,85,7,3.89,clear sky
473,Bayonet Point,US,28.3267,-82.6834,93.29,69,98,1.99,light rain
474,Saint-Joseph,RE,-21.3667,55.6167,68.38,74,27,12.06,scattered clouds
475,Road Town,VG,18.4167,-64.6167,86.09,74,40,11.5,scattered clouds
476,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,77.85,87,99,3.74,overcast clouds
477,Bubaque,GW,11.2833,-15.8333,80.47,78,94,9.75,light rain
478,Luanda,AO,-8.8368,13.2343,71.6,88,0,4.61,clear sky
479,Porto Walter,BR,-8.2686,-72.7439,79.72,71,100,2.66,overcast clouds
480,La Ronge,CA,55.1001,-105.2842,59.09,62,100,11.21,overcast clouds
481,Madingou,CG,-4.1536,13.55,77.36,60,93,2.82,overcast clouds
482,Hami,CN,42.8,93.45,77.65,30,31,12.19,scattered clouds
483,Luganville,VU,-15.5333,167.1667,82.62,71,21,4.81,few clouds
484,Poso,ID,-1.3959,120.7524,76.21,74,100,3.6,overcast clouds
485,West Wendover,US,40.7391,-114.0733,92.41,18,1,4.61,clear sky
486,Kasama,ZM,-10.2129,31.1808,49.96,73,29,4.34,scattered clouds
487,Mocuba,MZ,-16.8392,36.9856,63.68,87,100,5.77,overcast clouds
488,Kambove,CD,-10.8764,26.5969,55.9,56,25,5.03,scattered clouds
489,Ternate,ID,0.8,127.4,78.48,89,100,15.82,overcast clouds
490,Coihaique,CL,-45.5752,-72.0662,40.95,70,75,3.44,broken clouds
491,San Jose De Las Lajas,CU,22.9614,-82.1511,76.12,67,11,9.37,few clouds
492,Kamenka,RU,51.3223,42.7678,69.66,78,40,2.06,scattered clouds
493,Innisfail,AU,-17.5333,146.0333,69.87,67,88,4.29,overcast clouds
494,Lodja,CD,-3.4833,23.4333,72.77,38,76,1.72,broken clouds
495,Kolpashevo,RU,58.3131,82.9089,54.91,98,97,5.32,overcast clouds
496,Sao Filipe,CV,14.8961,-24.4956,74.07,83,99,9.51,overcast clouds
497,Rolante,BR,-29.6506,-50.5758,57.65,92,42,3.15,scattered clouds
498,Gravdal,NO,68.1214,13.5031,52.57,83,93,10.36,overcast clouds
499,Loandjili,CG,-4.7561,11.8578,71.47,91,83,5.64,broken clouds
500,Roebourne,AU,-20.7833,117.1333,64.62,27,21,9.78,few clouds
501,Makurdi,NG,7.7411,8.5121,73.53,94,79,3.78,broken clouds
502,Mandalgovi,MN,45.7625,106.2708,67.08,59,44,5.91,scattered clouds
503,Saint-Leu,RE,-21.15,55.2833,68.86,70,79,0.65,broken clouds
504,Polson,US,47.6936,-114.1632,88.27,23,0,3.04,clear sky
505,Yulara,AU,-25.2406,130.9889,42.64,81,8,5.75,clear sky
506,Khorinsk,RU,52.1657,109.7726,62.19,87,14,3.09,few clouds
507,Barahona,DO,18.2085,-71.1008,85.82,62,40,9.22,scattered clouds
508,Livramento,BR,-3.0254,-60.1803,84.87,83,20,0.0,few clouds
509,Huanren,CN,41.2647,125.3667,71.55,96,96,2.15,overcast clouds
510,Bilibino,RU,68.0546,166.4372,64.49,64,100,9.82,light rain
511,Altay,CN,47.8667,88.1167,56.5,46,3,3.74,clear sky
512,San Lorenzo,PY,-25.3333,-57.5333,61.74,67,0,6.91,clear sky
513,Maxcanu,MX,20.5833,-89.9833,75.18,57,78,9.42,broken clouds
514,Sisimiut,GL,66.9395,-53.6735,52.61,73,39,2.15,scattered clouds
515,Verkhoyansk,RU,67.5447,133.385,47.28,59,11,3.78,few clouds
516,Lethem,GY,3.3803,-59.7968,77.9,86,93,6.58,overcast clouds
517,Zyryanka,RU,65.75,150.85,44.13,93,100,32.12,moderate rain
518,Sajanan,TN,37.0573,9.2426,71.58,76,44,15.55,scattered clouds
519,Sinnamary,GF,5.3833,-52.95,79.21,79,67,8.14,broken clouds
520,Changping,CN,40.2186,116.2197,76.51,97,100,8.01,heavy intensity rain
521,Beringovskiy,RU,63.05,179.3167,54.7,74,100,7.67,overcast clouds
522,Constitucion,CL,-35.3333,-72.4167,49.5,60,0,8.59,clear sky
523,Bilma,NE,18.6853,12.9164,94.06,8,99,8.77,overcast clouds
524,Kuroishi,JP,40.6389,140.5922,82.58,73,20,5.75,few clouds
525,Santa Maria,BR,-29.6842,-53.8069,52.29,81,12,7.87,few clouds
526,Prabumulih,ID,-3.45,104.25,70.83,96,22,2.59,few clouds
527,Xique-Xique,BR,-10.8218,-42.7263,78.48,43,0,4.18,clear sky
528,Adre,TD,13.4667,22.2,75.97,68,100,12.39,overcast clouds
529,Bol,TD,13.4586,14.7147,80.28,71,100,8.05,overcast clouds
530,Palmas Bellas,PA,9.2319,-80.0867,82.35,86,100,7.56,overcast clouds
531,Dondo,MZ,-19.6094,34.7431,65.71,81,58,3.96,broken clouds
532,Singaraja,ID,-8.112,115.0882,75.92,82,30,3.76,scattered clouds
533,Saint Anthony,US,45.0205,-93.218,89.19,37,1,3.0,clear sky
534,Ocos,GT,14.5094,-92.1933,90.73,70,68,7.11,broken clouds
535,Kelo,TD,9.3086,15.8066,75.63,83,78,5.14,broken clouds
536,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,0,16.11,clear sky
537,Fort Nelson,CA,58.8053,-122.7002,51.39,93,90,4.61,light rain
538,Charters Towers,AU,-20.1,146.2667,57.45,36,37,7.74,scattered clouds
539,Digapahandi,IN,19.3667,84.5833,80.96,84,100,3.29,overcast clouds
540,Sechura,PE,-5.5569,-80.8222,74.32,62,41,18.3,scattered clouds
541,Barsovo,RU,61.1667,73.1667,55.53,97,96,5.5,overcast clouds
542,Liuhe,CN,42.2401,125.7172,71.42,93,20,3.6,few clouds
543,Nouadhibou,MR,20.931,-17.0347,67.62,93,23,10.56,few clouds
544,Rodney,CA,42.5668,-81.6831,77.67,73,52,12.73,broken clouds
545,Zhezkazgan,KZ,47.8043,67.7144,76.51,28,92,7.87,overcast clouds
546,Beloha,MG,-25.1667,45.05,64.94,75,9,6.93,clear sky
547,Shar,KZ,49.5886,81.0453,63.88,39,25,9.28,scattered clouds
548,Koshki,RU,54.2091,50.4677,63.7,73,2,3.09,clear sky
549,Tessalit,ML,20.1986,1.0114,95.88,11,23,7.49,few clouds
550,Conde,BR,-7.2597,-34.9075,72.86,94,90,4.61,overcast clouds
551,Zhangjiakou,CN,40.81,114.8794,69.78,93,100,3.87,overcast clouds
552,Honiara,SB,-9.4333,159.95,83.53,71,71,3.47,broken clouds
553,Majene,ID,-3.5403,118.9707,74.43,88,98,5.28,overcast clouds
554,Taltal,CL,-25.4,-70.4833,59.52,74,100,1.3,overcast clouds
555,Aykhal,RU,66.0,111.5,57.83,74,91,7.81,overcast clouds
556,Straumen,NO,63.8709,11.2999,56.5,86,92,12.64,overcast clouds
557,Damphu,BT,27.0721,90.1096,70.21,98,100,0.87,overcast clouds
558,Kudahuvadhoo,MV,2.6708,72.8944,82.58,75,73,10.22,broken clouds
559,Kurchum,KZ,48.5722,83.6542,63.57,49,56,6.62,broken clouds
560,Las Cruces,US,32.3123,-106.7783,99.48,27,40,3.0,scattered clouds
561,Alanya,TR,36.5438,31.9998,77.13,62,0,2.01,clear sky
562,Garowe,SO,8.4054,48.4845,79.48,46,94,17.74,overcast clouds
563,Sampit,ID,-2.5333,112.95,73.6,97,100,1.81,overcast clouds
564,Kalemie,CD,-5.9475,29.1947,69.04,59,47,4.18,scattered clouds
565,Kalabo,ZM,-14.97,22.6814,64.36,46,92,9.57,overcast clouds
566,Santa Rosa Del Sur,CO,7.9644,-74.0544,82.89,66,34,1.19,scattered clouds
567,Sompeta,IN,18.9333,84.6,82.17,83,100,8.48,overcast clouds
568,Maltahohe,NA,-24.8333,16.9833,52.63,37,0,10.67,clear sky
569,Hastings,GB,50.8552,0.5729,67.32,87,0,6.4,clear sky
570,Coolum Beach,AU,-26.5333,153.1,58.1,50,20,9.44,few clouds
571,Trenggalek,ID,-8.05,111.7167,72.27,93,91,1.86,overcast clouds
572,Xuzhou,CN,34.1805,117.1571,73.44,97,62,9.62,light rain
573,Nador,MA,35.174,-2.9287,73.65,88,0,5.75,clear sky
574,Pensacola,US,30.4213,-87.2169,88.32,74,40,1.01,scattered clouds
575,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,78,45,8.55,scattered clouds
576,Fairview,US,40.8126,-73.999,87.55,77,1,0.0,mist
577,Seydi,TM,39.4816,62.9137,83.23,20,0,8.97,clear sky
578,Podporozhye,RU,60.9112,34.1706,57.54,68,1,1.74,clear sky
579,Faya,SA,18.3851,42.4509,72.12,50,100,6.53,overcast clouds
580,Trebinje,BA,42.7119,18.3442,68.36,78,20,4.61,few clouds
581,Cap-Aux-Meules,CA,47.3821,-61.8597,64.13,80,100,13.2,overcast clouds
582,Dossor,KZ,47.5272,52.9811,84.38,28,25,7.56,scattered clouds
583,Nerchinsk,RU,51.9833,116.5833,66.02,68,100,2.68,overcast clouds
584,Bagdarin,RU,54.4333,113.6,62.31,82,57,1.05,broken clouds
585,Cayenne,GF,4.9333,-52.3333,82.44,79,0,1.99,clear sky
586,Pamekasan,ID,-7.1568,113.4746,76.71,81,29,7.52,scattered clouds
587,Edd,ER,13.9297,41.6925,91.33,60,100,6.51,overcast clouds
588,Kupang,ID,-10.1667,123.5833,70.38,100,20,3.44,few clouds
589,Port Hardy,CA,50.6996,-127.4199,61.03,70,96,1.21,overcast clouds
590,Plyussa,RU,58.4308,29.3654,62.87,64,1,2.95,clear sky
591,Oranjestad,AW,12.524,-70.027,85.95,66,20,21.85,few clouds
592,Casino,AU,-28.8667,153.05,53.56,59,0,5.39,clear sky
593,Lokoja,NG,7.8024,6.743,74.08,94,95,3.27,overcast clouds
594,Bere,TD,9.3202,16.1552,75.97,84,85,3.87,overcast clouds
595,Araguacu,BR,-12.9306,-49.8264,82.49,28,0,2.44,clear sky
596,Stuttgart,DE,48.7823,9.177,69.4,87,20,11.5,few clouds
597,Tampere,FI,61.4991,23.7871,63.0,68,0,4.61,clear sky
598,Sundsvall,SE,62.3913,17.3063,62.56,94,0,2.3,clear sky
599,Vestmannaeyjar,IS,63.4427,-20.2734,50.61,86,24,15.95,few clouds
600,Ust-Nera,RU,64.5667,143.2,64.96,53,41,10.74,scattered clouds
601,Abancay,PE,-13.6339,-72.8814,68.86,39,20,7.2,few clouds
602,Ziarat,PK,30.3823,67.7282,69.98,62,33,5.23,scattered clouds
603,Basco,PH,20.4487,121.9702,82.65,82,84,4.54,broken clouds
604,Mananara,MG,-16.1667,49.7667,65.12,94,24,5.46,few clouds
605,Birao,CF,10.2849,22.7882,75.6,79,98,4.59,light rain
606,Koslan,RU,63.4564,48.8989,54.14,68,0,3.18,clear sky
607,Rawlins,US,41.7911,-107.2387,82.29,23,20,23.02,few clouds
608,San Andres,CO,12.5847,-81.7006,81.99,82,100,20.36,overcast clouds
609,Berlevag,NO,70.8578,29.0864,50.18,82,57,14.63,broken clouds
610,Rorvik,NO,64.8621,11.2373,54.95,81,79,25.46,moderate rain
611,Sao Mateus,BR,-18.7161,-39.8589,71.19,78,0,7.56,clear sky
612,Valparaiso,CL,-33.0393,-71.6273,67.64,39,0,6.91,clear sky
613,Brasileia,BR,-11.0161,-68.7481,84.49,51,73,1.72,broken clouds
614,Natal,BR,-5.795,-35.2094,74.05,100,75,5.75,broken clouds
615,Korla,CN,41.7597,86.1469,78.49,33,99,13.04,overcast clouds
616,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,18.41,scattered clouds
617,Fortuna,US,40.5982,-124.1573,88.2,74,40,8.01,scattered clouds
618,Magadan,RU,59.5667,150.8,56.7,91,100,8.93,overcast clouds
619,Wagar,SD,16.1525,36.2032,82.51,61,94,9.98,overcast clouds
620,San Luis,AR,-33.295,-66.3356,43.34,25,0,7.81,clear sky
621,Meulaboh,ID,4.1363,96.1285,74.93,84,66,4.63,broken clouds
622,Huntsville,US,34.7304,-86.5861,82.65,83,75,7.0,light rain
623,Leander,US,30.5788,-97.8531,94.55,53,6,5.99,clear sky
624,Plattsburgh,US,44.6995,-73.4529,75.96,72,75,4.61,broken clouds
625,Kipushi,CD,-11.7667,27.2333,57.58,54,30,7.45,scattered clouds
626,Smithers,CA,54.7804,-127.1743,60.75,76,92,3.71,light rain
627,Diffa,NE,13.3154,12.6113,73.06,88,100,11.27,overcast clouds
628,Puerto Colombia,CO,10.9878,-74.9547,84.29,79,65,18.39,broken clouds
629,Seoul,KR,37.5683,126.9778,78.28,78,38,3.31,scattered clouds
630,Chunskiy,RU,56.0815,99.6342,52.97,95,10,4.29,clear sky
631,Madinat Sittah Uktubar,EG,29.8167,31.05,85.6,50,0,12.48,clear sky
632,Asau,RO,46.4333,26.4,69.28,69,0,4.61,clear sky
633,Jacareacanga,BR,-6.2222,-57.7528,85.62,47,71,4.16,broken clouds
634,Krasnovka,RU,48.8177,40.0923,75.69,64,88,5.64,overcast clouds
635,Inhambane,MZ,-23.865,35.3833,63.7,84,34,8.99,light rain
636,Havoysund,NO,70.9963,24.6622,50.88,87,93,21.97,light rain
637,Havelock,US,34.8791,-76.9013,88.02,81,33,11.01,scattered clouds
638,Plainfield,US,40.6168,-74.4173,89.85,71,1,6.91,clear sky
639,Najran,SA,17.4924,44.1277,73.47,55,100,5.46,overcast clouds
640,Ampanihy,MG,-24.7,44.75,66.22,67,1,5.46,clear sky
641,Livingstonia,MW,-10.606,34.1063,55.53,73,22,4.5,few clouds
642,Wonthaggi,AU,-38.6044,145.5913,49.71,76,93,14.45,light rain
643,Paveh,IR,35.0434,46.3565,73.42,23,3,3.33,clear sky
644,Udachnyy,RU,66.4167,112.4,57.88,64,88,8.86,overcast clouds
645,Talcahuano,CL,-36.7167,-73.1167,53.28,43,0,8.05,clear sky
646,Barguzin,RU,53.6167,109.6167,65.57,92,100,5.01,overcast clouds
647,Afua,BR,-0.1567,-50.3867,77.11,89,8,5.64,heavy intensity rain
648,Pontianak,ID,-0.0333,109.3333,76.98,100,93,1.14,mist
649,Bowen,AU,-20.0167,148.2333,63.93,35,68,6.53,broken clouds
650,Atasu,KZ,48.6814,71.6433,71.73,24,96,6.11,overcast clouds
651,Waddan,LY,29.1614,16.139,80.24,50,0,13.71,clear sky
652,Boyolangu,ID,-8.1181,111.8935,72.0,90,77,0.47,broken clouds
653,Port Augusta,AU,-32.5,137.7667,40.71,72,100,1.48,overcast clouds
654,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,65,0,3.44,clear sky
655,Ofunato,JP,39.0717,141.7167,79.0,78,88,2.89,overcast clouds
656,Lensk,RU,60.7253,114.9278,70.63,51,46,0.96,scattered clouds
657,Guiren,CN,33.6697,118.1889,73.74,95,62,12.44,broken clouds
658,Asyut,EG,27.181,31.1837,90.79,20,9,6.06,clear sky
659,Passos,BR,-20.7189,-46.6097,69.66,38,37,4.94,scattered clouds
660,Mnogovershinnyy,RU,53.9353,139.9242,67.42,52,16,6.78,few clouds
661,Auki,SB,-8.7676,160.7034,82.56,78,75,4.0,broken clouds
662,Redmond,US,47.674,-122.1215,80.85,56,80,5.99,broken clouds
663,Manta,EC,-0.95,-80.7333,75.07,77,93,13.4,overcast clouds
664,Temple,US,31.0982,-97.3428,94.64,50,20,5.99,few clouds
665,Dharchula,IN,29.85,80.5333,74.62,98,100,1.48,overcast clouds
666,Canon City,US,38.441,-105.2424,89.76,29,40,9.22,scattered clouds
667,Suzhou,CN,31.3114,120.6181,80.47,87,97,9.62,overcast clouds
668,Myshkin,RU,57.7897,38.4545,60.98,64,0,4.25,clear sky
669,Buta,CD,2.7858,24.73,69.75,99,99,0.45,overcast clouds
670,Wanxian,CN,30.8039,108.3897,75.85,94,16,1.97,few clouds
671,Watsa,CD,3.0372,29.5355,64.49,92,99,1.86,overcast clouds
672,Maarianhamina,AX,60.0973,19.9348,67.86,94,0,10.36,clear sky
673,Belmonte,BR,-15.8631,-38.8828,73.9,79,1,6.78,clear sky
674,Arica,CL,-18.475,-70.3042,61.03,77,90,8.05,overcast clouds
675,Songea,TZ,-10.6833,35.65,52.99,64,4,2.46,clear sky
676,Pangnirtung,CA,66.1451,-65.7125,60.37,61,53,3.47,broken clouds
677,Nyrob,RU,60.733,56.7202,57.96,96,86,2.93,overcast clouds
678,Ayagoz,KZ,47.9714,80.4392,65.17,30,10,7.76,clear sky
679,Gari,RU,59.4307,62.3497,59.05,66,78,6.53,broken clouds
680,Merrill,US,45.1805,-89.6835,83.8,46,1,3.44,clear sky
681,Bela,IN,25.9333,81.9833,82.96,78,100,13.62,overcast clouds
682,Baoning,CN,25.3378,110.026,75.85,95,98,1.16,overcast clouds
683,Lazaro Cardenas,MX,17.9583,-102.2,84.18,71,100,3.91,overcast clouds
684,Saint-Francois,FR,46.4154,3.9054,68.18,90,0,6.91,clear sky
685,Alekseyevsk,RU,57.8406,108.3492,66.33,84,69,9.04,broken clouds
