City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
145,Miri,MY,76.1,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
146,Kodiak,US,69.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
148,Touros,BR,74.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
151,Havre-Saint-Pierre,CA,62.58,scattered clouds,50.2334,-63.5986,Auberge Niapiskau
152,Dingle,PH,77.09,light rain,10.9995,122.6711,SEGAYA PROPERTY
153,De-Kastri,RU,71.24,broken clouds,51.4667,140.7833,Somon Hotel
158,Bull Savanna,JM,82.94,scattered clouds,17.8868,-77.5902,Big Red's
159,Rairangpur,IN,79.12,overcast clouds,22.2676,86.1751,Rairangpur Town PS
165,Iquitos,PE,80.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
166,Erdenet,MN,62.6,overcast clouds,49.0333,104.0833,Erdenet hotel
167,Lagoa,PT,67.3,few clouds,39.05,-27.9833,Casa Das Faias
168,College,US,80.58,haze,64.8569,-147.8028,Pike's Waterfront Lodge
170,Cervo,ES,67.19,clear sky,43.6702,-7.4101,Hotel Spa Galatea
171,Asfi,MA,72.63,clear sky,32.2994,-9.2372,Hôtel Abda
172,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
174,Angoche,MZ,67.03,clear sky,-16.2325,39.9086,Guest House HESADA
175,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
176,Sitka,US,60.69,light rain,57.0531,-135.33,Westmark Sitka
178,Namibe,AO,66.33,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
179,Sao Miguel Do Araguaia,BR,82.44,clear sky,-13.275,-50.1628,Hotel Executivo Palace
180,Aklavik,CA,82.31,scattered clouds,68.2191,-135.0107,Aklavik Inn
182,Ribeira Grande,PT,68.58,broken clouds,38.5167,-28.7,Quinta da Meia Eira
183,Ape,LV,63.72,overcast clouds,57.5393,26.6929,Jaunvosi
184,Maumere,ID,76.3,overcast clouds,-8.6199,122.2111,Sylvia Hotel
185,Juba,SS,69.93,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
187,Manokwari,ID,75.52,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
189,Ochamchira,GE,73.85,clear sky,42.7121,41.4721,Resort on Papaskiri 76
190,Zhicheng,CN,76.14,light rain,30.2956,111.5047,Wangjiang Building
192,Jinan,CN,77.77,light rain,36.6683,116.9972,Shandong Grand Tower Hotel
194,Ahipara,NZ,61.0,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
195,Marshall,US,80.78,scattered clouds,34.3834,-86.3333,Riverview Campground
199,Ryki,PL,73.35,overcast clouds,51.6257,21.9327,Pokoje Pracownicze Ryki
200,Carnarvon,AU,61.03,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
202,Boat Of Garten,GB,61.5,overcast clouds,57.2491,-3.759,The Boat Country Inn & Restaurant
207,Kouvola,FI,64.72,clear sky,60.8667,26.7,"Original Sokos Hotel Vaakuna, Kouvola"
208,Katherine,AU,64.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
209,Hamilton,US,84.42,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
210,Muli,MV,81.91,broken clouds,2.9167,73.5667,Medhufushi Island Resort
211,Monrovia,LR,74.97,moderate rain,6.3005,-10.7969,Sunset Inn
216,Acari,PE,68.13,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
219,Port-Gentil,GA,75.36,broken clouds,-0.7193,8.7815,Fengshui Residence
221,Acarau,BR,79.32,few clouds,-2.8856,-40.12,castelo pizzaria
224,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
226,Dunhua,CN,70.38,broken clouds,43.3725,128.2425,Jinhao International Business Hotel
229,Zonguldak,TR,68.7,clear sky,41.25,31.8333,Süleyman Tez Ev
